Longitude,Latitude,ElevationMeters,ICAO,WMO,Region,Country2
-160.0,21.25,5.200005,,0,,
-159.75,21.25,10.728779,,0,,
-159.5,21.25,11.210753,,0,,
-159.25,21.25,9.696714,,0,,
-159.0,21.25,1.4581244,,0,,
-158.75,21.25,-3.7575645,,0,,
-158.5,21.25,-8.603209,,0,,
-158.25,21.25,14.588963,,0,,
-158.0,21.25,51.227444,,0,,
-157.75,21.25,31.155367,,0,,
-157.5,21.25,-0.7286888,,0,,
-157.25,21.25,29.624996,,0,,
-157.0,21.25,83.69983,,0,,
-156.75,21.25,60.153946,,0,,
-156.5,21.25,-11.027026,,0,,
-156.25,21.25,-26.656567,,0,,
-156.0,21.25,-18.265417,,0,,
-155.75,21.25,-3.2640378,,0,,
-155.5,21.25,11.529814,,0,,
-155.25,21.25,1.5895722,,0,,
-155.0,21.25,4.3201013,,0,,
-154.75,21.25,1.9735591,,0,,
-154.5,21.25,-1.8866243,,0,,
-154.25,21.25,-1.7424301,,0,,
-154.0,21.25,1.841713,,0,,
-161.0,21.0,-0.9270555,,0,,
-160.75,21.0,-0.45902166,,0,,
-160.5,21.0,0.8590412,,0,,
-160.25,21.0,1.3884172,,0,,
-160.0,21.0,-3.8551545,,0,,
-159.75,21.0,-4.6609693,,0,,
-159.5,21.0,-3.7742944,,0,,
-159.25,21.0,-1.7858477,,0,,
-159.0,21.0,-3.9627028,,0,,
-158.75,21.0,2.2304797,,0,,
-158.5,21.0,6.535196,,0,,
-158.25,21.0,-9.270007,,0,,
-158.0,21.0,-7.4261527,,0,,
-157.75,21.0,-9.51697,,0,,
-157.5,21.0,0.7379499,,0,,
-157.25,21.0,32.125294,,0,,
-157.0,21.0,67.7329,,0,,
-156.75,21.0,50.40809,,0,,
-156.5,21.0,94.981636,,0,,
-156.25,21.0,123.54803,,0,,
-156.0,21.0,78.28856,,0,,
-155.75,21.0,-12.591254,,0,,
-155.5,21.0,-11.6281,,0,,
-155.25,21.0,-2.9688778,,0,,
-155.0,21.0,-10.819896,,0,,
-154.75,21.0,1.1127752,,0,,
-154.5,21.0,4.7028933,,0,,
-154.25,21.0,2.0034337,,0,,
-154.0,21.0,-1.7121572,,0,,
-161.0,20.75,0.3089521,,0,,
-160.75,20.75,0.26633114,,0,,
-160.5,20.75,0.62960505,,0,,
-160.25,20.75,1.4939739,,0,,
-160.0,20.75,0.34519982,,0,,
-159.75,20.75,0.7773842,,0,,
-159.5,20.75,-0.5466535,,0,,
-159.25,20.75,1.6082937,,0,,
-159.0,20.75,-2.5550165,,0,,
-158.75,20.75,-0.7561733,,0,,
-158.5,20.75,4.3495774,,0,,
-158.25,20.75,-2.1072972,,0,,
-158.0,20.75,2.369894,,0,,
-157.75,20.75,4.2846503,,0,,
-157.5,20.75,-3.5974371,,0,,
-157.25,20.75,10.0333,,0,,
-157.0,20.75,13.876356,,0,,
-156.75,20.75,55.354507,,0,,
-156.5,20.75,219.3416,,0,,
-156.25,20.75,331.74698,,0,,
-156.0,20.75,226.20995,,0,,
-155.75,20.75,19.26253,,0,,
-155.5,20.75,-7.1047034,,0,,
-155.25,20.75,23.602297,,0,,
-155.0,20.75,0.6359783,,0,,
-154.75,20.75,-15.385118,,0,,
-154.5,20.75,4.281862,,0,,
-154.25,20.75,4.468677,,0,,
-154.0,20.75,-1.408234,,0,,
-161.0,20.5,0.94069815,,0,,
-160.75,20.5,-0.617954,,0,,
-160.5,20.5,-0.9465735,,0,,
-160.25,20.5,0.24243155,,0,,
-160.0,20.5,0.3240885,,0,,
-159.75,20.5,1.0072187,,0,,
-159.5,20.5,0.19742064,,0,,
-159.25,20.5,0.7945123,,0,,
-159.0,20.5,-1.966688,,0,,
-158.75,20.5,-1.2847527,,0,,
-158.5,20.5,2.1002269,,0,,
-158.25,20.5,-0.6717281,,0,,
-158.0,20.5,1.0406781,,0,,
-157.75,20.5,2.9932754,,0,,
-157.5,20.5,-4.4478645,,0,,
-157.25,20.5,6.0249395,,0,,
-157.0,20.5,1.3884172,,0,,
-156.75,20.5,40.741497,,0,,
-156.5,20.5,71.05893,,0,,
-156.25,20.5,189.97696,,0,,
-156.0,20.5,182.86842,,0,,
-155.75,20.5,12.637161,,0,,
-155.5,20.5,-21.771887,,0,,
-155.25,20.5,-13.193923,,0,,
-155.0,20.5,6.2527823,,0,,
-154.75,20.5,7.137864,,0,,
-154.5,20.5,3.8851287,,0,,
-154.25,20.5,3.8190064,,0,,
-154.0,20.5,1.3485847,,0,,
-161.0,20.25,0.37985423,,0,,
-160.75,20.25,0.117755316,,0,,
-160.5,20.25,-0.21006751,,0,,
-160.25,20.25,-0.18696457,,0,,
-160.0,20.25,-0.10331597,,0,,
-159.75,20.25,-1.510604,,0,,
-159.5,20.25,-0.20369428,,0,,
-159.25,20.25,-0.98959273,,0,,
-159.0,20.25,-0.35864335,,0,,
-158.75,20.25,0.32329187,,0,,
-158.5,20.25,1.0263383,,0,,
-158.25,20.25,-1.7579648,,0,,
-158.0,20.25,-1.9479667,,0,,
-157.75,20.25,1.0713493,,0,,
-157.5,20.25,-3.902157,,0,,
-157.25,20.25,0.51727694,,0,,
-157.0,20.25,6.3615255,,0,,
-156.75,20.25,-15.509793,,0,,
-156.5,20.25,14.663848,,0,,
-156.25,20.25,24.87973,,0,,
-156.0,20.25,17.81979,,0,,
-155.75,20.25,196.6577,,0,,
-155.5,20.25,223.11734,,0,,
-155.25,20.25,20.249582,,0,,
-155.0,20.25,-28.846964,,0,,
-154.75,20.25,-0.63667536,,0,,
-154.5,20.25,1.0992322,,0,,
-154.25,20.25,1.0474497,,0,,
-154.0,20.25,3.2035918,,0,,
-161.0,20.0,0.07035444,,0,,
-160.75,20.0,-0.19254114,,0,,
-160.5,20.0,-0.6020209,,0,,
-160.25,20.0,0.01379206,,0,,
-160.0,20.0,1.7214184,,0,,
-159.75,20.0,-0.7928194,,0,,
-159.5,20.0,1.8437046,,0,,
-159.25,20.0,0.19025075,,0,,
-159.0,20.0,0.3252835,,0,,
-158.75,20.0,0.18945411,,0,,
-158.5,20.0,0.89409393,,0,,
-158.25,20.0,0.9614111,,0,,
-158.0,20.0,1.163761,,0,,
-157.75,20.0,4.440396,,0,,
-157.5,20.0,-3.5938523,,0,,
-157.25,20.0,-1.4500583,,0,,
-157.0,20.0,1.3792558,,0,,
-156.75,20.0,-23.336115,,0,,
-156.5,20.0,4.858639,,0,,
-156.25,20.0,15.084879,,0,,
-156.0,20.0,329.35306,,0,,
-155.75,20.0,592.351,,0,,
-155.5,20.0,974.7855,,0,,
-155.25,20.0,459.88388,,0,,
-155.0,20.0,85.906555,,0,,
-154.75,20.0,-9.011493,,0,,
-154.5,20.0,-5.5611877,,0,,
-154.25,20.0,-1.771508,,0,,
-154.0,20.0,0.38782078,,0,,
-161.0,19.75,0.09465237,,0,,
-160.75,19.75,0.29341736,,0,,
-160.5,19.75,0.046454843,,0,,
-160.25,19.75,-1.1999092,,0,,
-160.0,19.75,0.19184406,,0,,
-159.75,19.75,-1.5412751,,0,,
-159.5,19.75,0.105407186,,0,,
-159.25,19.75,-1.0549183,,0,,
-159.0,19.75,-0.34350693,,0,,
-158.75,19.75,-0.56378156,,0,,
-158.5,19.75,-0.816719,,0,,
-158.25,19.75,-1.0346036,,0,,
-158.0,19.75,-1.7822628,,0,,
-157.75,19.75,0.01618202,,0,,
-157.5,19.75,-3.644838,,0,,
-157.25,19.75,8.410916,,0,,
-157.0,19.75,-12.252677,,0,,
-156.75,19.75,3.2812655,,0,,
-156.5,19.75,40.146397,,0,,
-156.25,19.75,9.54057,,0,,
-156.0,19.75,291.87448,,0,,
-155.75,19.75,1384.0697,,0,,
-155.5,19.75,2185.1763,,0,,
-155.25,19.75,1192.087,,0,,
-155.0,19.75,176.12993,,0,,
-154.75,19.75,13.690337,,0,,
-154.5,19.75,-4.8015785,,0,,
-154.25,19.75,-1.8324519,,0,,
-154.0,19.75,0.5021405,,0,,
-161.0,19.5,0.013393734,,0,,
-160.75,19.5,-0.33872703,,0,,
-160.5,19.5,0.24043992,,0,,
-160.25,19.5,0.055616356,,0,,
-160.0,19.5,0.631995,,0,,
-159.75,19.5,0.17750432,,0,,
-159.5,19.5,0.8498797,,0,,
-159.25,19.5,0.23765163,,0,,
-159.0,19.5,0.692939,,0,,
-158.75,19.5,0.6160619,,0,,
-158.5,19.5,0.1444432,,0,,
-158.25,19.5,0.14962144,,0,,
-158.0,19.5,1.1179535,,0,,
-157.75,19.5,1.4812274,,0,,
-157.5,19.5,-5.4902854,,0,,
-157.25,19.5,12.587371,,0,,
-157.0,19.5,-10.1606655,,0,,
-156.75,19.5,4.8678007,,0,,
-156.5,19.5,-8.50283,,0,,
-156.25,19.5,-32.33989,,0,,
-156.0,19.5,428.68295,,0,,
-155.75,19.5,1743.7902,,0,,
-155.5,19.5,2477.3464,,0,,
-155.25,19.5,1214.6877,,0,,
-155.0,19.5,114.65817,,0,,
-154.75,19.5,48.03844,,0,,
-154.5,19.5,8.371083,,0,,
-154.25,19.5,-2.260653,,0,,
-154.0,19.5,1.5931572,,0,,
-161.0,19.25,0.10421221,,0,,
-160.75,19.25,0.007020507,,0,,
-160.5,19.25,0.09744065,,0,,
-160.25,19.25,-0.2351621,,0,,
-160.0,19.25,-0.19572775,,0,,
-159.75,19.25,-0.6896528,,0,,
-159.5,19.25,-0.6526084,,0,,
-159.25,19.25,-0.27021483,,0,,
-159.0,19.25,-0.6071992,,0,,
-158.75,19.25,-0.44269028,,0,,
-158.5,19.25,-0.06467829,,0,,
-158.25,19.25,-0.23436543,,0,,
-158.0,19.25,-0.3415153,,0,,
-157.75,19.25,0.5244468,,0,,
-157.5,19.25,-4.096939,,0,,
-157.25,19.25,3.0195649,,0,,
-157.0,19.25,-4.31323,,0,,
-156.75,19.25,11.580799,,0,,
-156.5,19.25,-6.1614656,,0,,
-156.25,19.25,26.735535,,0,,
-156.0,19.25,413.49316,,0,,
-155.75,19.25,1103.7626,,0,,
-155.5,19.25,1188.5619,,0,,
-155.25,19.25,305.88522,,0,,
-155.0,19.25,7.283253,,0,,
-154.75,19.25,29.721392,,0,,
-154.5,19.25,-0.13398713,,0,,
-154.25,19.25,-6.6056,,0,,
-154.0,19.25,3.2876387,,0,,
-161.0,19.0,-0.25428176,,0,,
-160.75,19.0,0.043666556,,0,,
-160.5,19.0,0.022156918,,0,,
-160.25,19.0,-0.1873629,,0,,
-160.0,19.0,0.16674949,,0,,
-159.75,19.0,0.4870041,,0,,
-159.5,19.0,0.29740062,,0,,
-159.25,19.0,0.32488516,,0,,
-159.0,19.0,0.19781896,,0,,
-158.75,19.0,0.35953957,,0,,
-158.5,19.0,-0.03480379,,0,,
-158.25,19.0,-0.48770118,,0,,
-158.0,19.0,0.19821729,,0,,
-157.75,19.0,0.038886636,,0,,
-157.5,19.0,-0.6705331,,0,,
-157.25,19.0,2.9749522,,0,,
-157.0,19.0,-5.8547544,,0,,
-156.75,19.0,2.475849,,0,,
-156.5,19.0,-5.8647127,,0,,
-156.25,19.0,-19.99296,,0,,
-156.0,19.0,129.19232,,0,,
-155.75,19.0,222.72818,,0,,
-155.5,19.0,94.48771,,0,,
-155.25,19.0,-32.85413,,0,,
-155.0,19.0,57.975895,,0,,
-154.75,19.0,13.209557,,0,,
-154.5,19.0,-5.0756273,,0,,
-154.25,19.0,-0.420384,,0,,
-154.0,19.0,3.9006634,,0,,
-161.0,18.75,0.10381388,,0,,
-160.75,18.75,0.14364654,,0,,
-160.5,18.75,-0.030422198,,0,,
-160.25,18.75,0.42207685,,0,,
-160.0,18.75,-0.19771938,,0,,
-159.75,18.75,-0.40086597,,0,,
-159.5,18.75,-0.25229013,,0,,
-159.25,18.75,-0.022057338,,0,,
-159.0,18.75,-0.3462952,,0,,
-158.75,18.75,0.08947412,,0,,
-158.5,18.75,-0.0069209253,,0,,
-158.25,18.75,-0.33793035,,0,,
-158.0,18.75,0.034903374,,0,,
-157.75,18.75,0.61008704,,0,,
-157.5,18.75,-2.9676828,,0,,
-157.25,18.75,2.6869621,,0,,
-157.0,18.75,0.122136906,,0,,
-156.75,18.75,1.0777225,,0,,
-156.5,18.75,9.7955,,0,,
-156.25,18.75,2.775789,,0,,
-156.0,18.75,-15.168427,,0,,
-155.75,18.75,-7.062879,,0,,
-155.5,18.75,1.983119,,0,,
-155.25,18.75,6.346389,,0,,
-155.0,18.75,20.50491,,0,,
-154.75,18.75,-8.689247,,0,,
-154.5,18.75,-5.8428044,,0,,
-154.25,18.75,-1.6603748,,0,,
-154.0,18.75,-2.278976,,0,,
-161.0,18.5,0.00901214,,0,,
-160.75,18.5,0.036895003,,0,,
-160.5,18.5,-0.049940202,,0,,
-160.25,18.5,0.20299721,,0,,
-160.0,18.5,-0.3427103,,0,,
-159.75,18.5,0.4388066,,0,,
-159.5,18.5,-0.22600058,,0,,
-159.25,18.5,0.21733697,,0,,
-159.0,18.5,0.13647667,,0,,
-158.75,18.5,0.10182225,,0,,
-158.5,18.5,0.712457,,0,,
-158.25,18.5,1.0490429,,0,,
-158.0,18.5,-0.74183357,,0,,
-157.75,18.5,0.6770059,,0,,
-157.5,18.5,-0.915504,,0,,
-157.25,18.5,-0.47654805,,0,,
-157.0,18.5,0.6152653,,0,,
-156.75,18.5,-3.733665,,0,,
-156.5,18.5,1.0717477,,0,,
-156.25,18.5,6.148421,,0,,
-156.0,18.5,-5.098332,,0,,
-155.75,18.5,0.84231144,,0,,
-155.5,18.5,7.009603,,0,,
-155.25,18.5,6.8494754,,0,,
-155.0,18.5,-4.731473,,0,,
-154.75,18.5,-8.722706,,0,,
-154.5,18.5,-3.2481048,,0,,
-154.25,18.5,0.78096914,,0,,
-154.0,18.5,0.20459051,,0,,
-161.0,18.25,-0.15071684,,0,,
-160.75,18.25,-0.123232305,,0,,
-160.5,18.25,-0.083001316,,0,,
-160.25,18.25,0.060396276,,0,,
-160.0,18.25,-0.3682032,,0,,
-159.75,18.25,0.42845008,,0,,
-159.5,18.25,-0.27021483,,0,,
-159.25,18.25,-0.34669355,,0,,
-159.0,18.25,0.038886636,,0,,
-158.75,18.25,-0.5494418,,0,,
-158.5,18.25,0.05043811,,0,,
-158.25,18.25,1.0382881,,0,,
-158.0,18.25,0.28863743,,0,,
-157.75,18.25,0.295409,,0,,
-157.5,18.25,0.634385,,0,,
-157.25,18.25,-1.207079,,0,,
-157.0,18.25,0.25159305,,0,,
-156.75,18.25,-1.2309787,,0,,
-156.5,18.25,-1.0744363,,0,,
-156.25,18.25,3.8887136,,0,,
-156.0,18.25,-1.4823228,,0,,
-155.75,18.25,1.7361565,,0,,
-155.5,18.25,2.2264965,,0,,
-155.25,18.25,-3.238545,,0,,
-155.0,18.25,-4.4036503,,0,,
-154.75,18.25,-0.8529667,,0,,
-154.5,18.25,2.5742357,,0,,
-154.25,18.25,2.624425,,0,,
